# source=Family 3, view=Duty sweep, params=baseline_control, exported=2026-06-23, key=avg speed vs duty
duty,avg_speed_mps
0.00,0.0000
0.02,0.0000
0.04,0.0000
0.06,0.0000
0.08,0.0000
0.10,0.0065
0.12,0.0130
0.14,0.0196
0.16,0.0261
0.18,0.0326
0.20,0.0391
0.22,0.0457
0.24,0.0522
0.26,0.0587
0.28,0.0652
0.30,0.0717
0.32,0.0783
0.34,0.0848
0.36,0.0913
0.38,0.0978
0.40,0.1043
0.42,0.1109
0.44,0.1174
0.46,0.1239
0.48,0.1304
0.50,0.1370
0.52,0.1435
0.54,0.1500
0.56,0.1565
0.58,0.1630
0.60,0.1696
0.62,0.1761
0.64,0.1826
0.66,0.1891
0.68,0.1957
0.70,0.2022
0.72,0.2087
0.74,0.2152
0.76,0.2217
0.78,0.2283
0.80,0.2348
0.82,0.2413
0.84,0.2478
0.86,0.2543
0.88,0.2609
0.90,0.2674
0.92,0.2739
0.94,0.2804
0.96,0.2870
0.98,0.2935
1.00,0.3000
