# source=Family 3, view=Position, params=baseline_control, exported=2026-06-23, key=step response x(t) per valve model
t,x_onoff,x_pwm,x_prop
0.001,0.00001,0.00001,0.00001
0.011,0.00080,0.00080,0.00080
0.021,0.00246,0.00246,0.00246
0.031,0.00464,0.00464,0.00464
0.041,0.00713,0.00713,0.00713
0.051,0.00981,0.00981,0.00981
0.061,0.01261,0.01261,0.01261
0.071,0.01547,0.01547,0.01547
0.081,0.01837,0.01837,0.01837
0.091,0.02129,0.02129,0.02129
0.101,0.02423,0.02423,0.02423
0.111,0.02718,0.02718,0.02718
0.121,0.03013,0.03013,0.03013
0.131,0.03308,0.03308,0.03308
0.141,0.03604,0.03604,0.03604
0.151,0.03900,0.03900,0.03900
0.161,0.04196,0.04196,0.04196
0.171,0.04492,0.04492,0.04492
0.181,0.04788,0.04788,0.04788
0.191,0.05084,0.05084,0.05084
0.201,0.05380,0.05380,0.05380
0.211,0.05676,0.05676,0.05676
0.221,0.05972,0.05972,0.05972
0.231,0.06268,0.06268,0.06268
0.241,0.06564,0.06564,0.06564
0.251,0.06860,0.06857,0.06859
0.261,0.07156,0.07142,0.07147
0.271,0.07452,0.07430,0.07421
0.281,0.07748,0.07668,0.07676
0.291,0.08044,0.07924,0.07911
0.301,0.08340,0.08126,0.08125
0.311,0.08636,0.08327,0.08319
0.321,0.08932,0.08518,0.08494
0.331,0.09190,0.08661,0.08651
0.341,0.09345,0.08830,0.08792
0.351,0.09437,0.08937,0.08919
0.361,0.09490,0.09073,0.09032
0.371,0.09520,0.09174,0.09133
0.381,0.09537,0.09263,0.09223
0.391,0.09545,0.09357,0.09303
0.401,0.09549,0.09413,0.09374
0.411,0.09549,0.09498,0.09438
0.421,0.09548,0.09553,0.09495
0.431,0.09545,0.09609,0.09545
0.441,0.09542,0.09665,0.09591
0.451,0.09539,0.09698,0.09631
0.461,0.09535,0.09750,0.09666
0.471,0.09531,0.09780,0.09698
0.481,0.09527,0.09812,0.09726
0.491,0.09523,0.09838,0.09752
0.501,0.09520,0.09854,0.09774
0.511,0.09516,0.09884,0.09794
0.521,0.09512,0.09901,0.09812
0.531,0.09508,0.09917,0.09828
0.541,0.09504,0.09929,0.09842
0.551,0.09500,0.09937,0.09854
0.561,0.09496,0.09950,0.09865
0.571,0.09492,0.09956,0.09875
0.581,0.09488,0.09966,0.09884
0.591,0.09484,0.09975,0.09892
0.601,0.09480,0.09980,0.09899
0.611,0.09476,0.09992,0.09905
0.621,0.09472,0.09997,0.09911
0.631,0.09468,0.10007,0.09916
0.641,0.09464,0.10015,0.09920
0.651,0.09460,0.10017,0.09924
0.661,0.09456,0.10006,0.09927
0.671,0.09452,0.09998,0.09930
0.681,0.09448,0.09999,0.09933
0.691,0.09444,0.10003,0.09935
0.701,0.09440,0.10002,0.09934
0.711,0.09436,0.09989,0.09932
0.721,0.09432,0.09979,0.09932
0.731,0.09428,0.09980,0.09933
0.741,0.09424,0.09983,0.09933
0.751,0.09420,0.09985,0.09933
0.761,0.09416,0.09995,0.09933
0.771,0.09412,0.09999,0.09933
0.781,0.09408,0.10008,0.09933
0.791,0.09404,0.10016,0.09933
0.801,0.09400,0.10018,0.09933
0.811,0.09396,0.10006,0.09933
0.821,0.09392,0.09998,0.09933
0.831,0.09388,0.09999,0.09933
0.841,0.09384,0.10003,0.09933
0.851,0.09380,0.10002,0.09933
0.861,0.09376,0.09989,0.09933
0.871,0.09372,0.09979,0.09933
0.881,0.09368,0.09980,0.09933
0.891,0.09364,0.09983,0.09933
0.901,0.09360,0.09985,0.09933
0.911,0.09356,0.09995,0.09933
0.921,0.09352,0.09999,0.09933
0.931,0.09348,0.10008,0.09933
0.941,0.09344,0.10016,0.09933
0.951,0.09340,0.10018,0.09933
0.961,0.09336,0.10006,0.09933
0.971,0.09332,0.09998,0.09933
0.981,0.09328,0.09999,0.09933
0.991,0.09324,0.10003,0.09933
1.001,0.09320,0.10002,0.09933
1.011,0.09316,0.09989,0.09933
1.021,0.09312,0.09979,0.09933
1.031,0.09308,0.09972,0.09933
1.041,0.09304,0.09966,0.09933
1.051,0.09300,0.09961,0.09933
1.061,0.09296,0.09957,0.09933
1.071,0.09292,0.09952,0.09933
1.081,0.09288,0.09948,0.09933
1.091,0.09284,0.09944,0.09933
1.101,0.09280,0.09940,0.09933
1.111,0.09276,0.09936,0.09933
1.121,0.09272,0.09932,0.09933
