# source=Family 3, view=Coordinated, params=baseline_control (Kp=40), exported=2026-06-23, key=target vs actual path
t,target_x,target_y,actual_x,actual_y
0.000,0.05000,0.70000,0.05000,0.70000
0.010,0.04999,0.70105,0.05000,0.70007
0.020,0.04996,0.70209,0.05000,0.70024
0.030,0.04990,0.70314,0.04999,0.70052
0.040,0.04982,0.70418,0.04997,0.70089
0.050,0.04973,0.70523,0.04995,0.70133
0.060,0.04961,0.70627,0.04992,0.70184
0.070,0.04946,0.70730,0.04987,0.70241
0.080,0.04930,0.70834,0.04982,0.70303
0.090,0.04911,0.70937,0.04975,0.70370
0.100,0.04891,0.71040,0.04966,0.70441
0.110,0.04868,0.71142,0.04956,0.70516
0.120,0.04843,0.71243,0.04945,0.70593
0.130,0.04816,0.71345,0.04931,0.70674
0.140,0.04787,0.71445,0.04916,0.70756
0.150,0.04755,0.71545,0.04900,0.70841
0.160,0.04722,0.71644,0.04881,0.70927
0.170,0.04686,0.71743,0.04861,0.71015
0.180,0.04649,0.71841,0.04839,0.71104
0.190,0.04609,0.71938,0.04814,0.71194
0.200,0.04568,0.72034,0.04788,0.71285
0.210,0.04524,0.72129,0.04761,0.71376
0.220,0.04479,0.72223,0.04731,0.71468
0.230,0.04431,0.72316,0.04699,0.71560
0.240,0.04382,0.72409,0.04666,0.71652
0.250,0.04330,0.72500,0.04630,0.71743
0.260,0.04277,0.72590,0.04592,0.71835
0.270,0.04222,0.72679,0.04553,0.71927
0.280,0.04165,0.72767,0.04512,0.72018
0.290,0.04106,0.72854,0.04469,0.72109
0.300,0.04045,0.72939,0.04423,0.72199
0.310,0.03983,0.73023,0.04376,0.72288
0.320,0.03918,0.73106,0.04328,0.72377
0.330,0.03853,0.73187,0.04277,0.72465
0.340,0.03785,0.73267,0.04224,0.72552
0.350,0.03716,0.73346,0.04170,0.72639
0.360,0.03645,0.73423,0.04114,0.72724
0.370,0.03572,0.73498,0.04056,0.72808
0.380,0.03498,0.73572,0.03996,0.72892
0.390,0.03423,0.73645,0.03935,0.72974
0.400,0.03346,0.73716,0.03872,0.73054
0.410,0.03267,0.73785,0.03807,0.73134
0.420,0.03187,0.73853,0.03740,0.73212
0.430,0.03106,0.73918,0.03672,0.73289
0.440,0.03023,0.73983,0.03603,0.73365
0.450,0.02939,0.74045,0.03531,0.73439
0.460,0.02854,0.74106,0.03459,0.73512
0.470,0.02767,0.74165,0.03384,0.73583
0.480,0.02679,0.74222,0.03308,0.73653
0.490,0.02590,0.74277,0.03231,0.73721
0.500,0.02500,0.74330,0.03153,0.73788
0.510,0.02409,0.74382,0.03073,0.73853
0.520,0.02316,0.74431,0.02991,0.73916
0.530,0.02223,0.74479,0.02909,0.73978
0.540,0.02129,0.74524,0.02825,0.74038
0.550,0.02034,0.74568,0.02739,0.74096
0.560,0.01938,0.74609,0.02653,0.74152
0.570,0.01841,0.74649,0.02566,0.74207
0.580,0.01743,0.74686,0.02477,0.74259
0.590,0.01644,0.74722,0.02387,0.74310
0.600,0.01545,0.74755,0.02296,0.74359
0.610,0.01445,0.74787,0.02205,0.74406
0.620,0.01345,0.74816,0.02112,0.74451
0.630,0.01243,0.74843,0.02018,0.74495
0.640,0.01142,0.74868,0.01924,0.74536
0.650,0.01040,0.74891,0.01828,0.74575
0.660,0.00937,0.74911,0.01732,0.74612
0.670,0.00834,0.74930,0.01635,0.74647
0.680,0.00730,0.74946,0.01537,0.74681
0.690,0.00627,0.74961,0.01439,0.74712
0.700,0.00523,0.74973,0.01340,0.74741
0.710,0.00418,0.74982,0.01240,0.74768
0.720,0.00314,0.74990,0.01140,0.74793
0.730,0.00209,0.74996,0.01040,0.74816
0.740,0.00105,0.74999,0.00939,0.74836
0.750,0.00000,0.75000,0.00837,0.74855
0.760,-0.00105,0.74999,0.00735,0.74871
0.770,-0.00209,0.74996,0.00633,0.74886
0.780,-0.00314,0.74990,0.00531,0.74898
